X,Y
-87.9171632,41.95451896
-87.91419707,41.95376608
-87.91419707,41.95376608
-87.91239528,41.95449495
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.90530913,41.97620114
-87.89824208,41.9513325
-87.89398851,41.95359164
-87.89307885,41.95517597
-87.89307885,41.95517597
-87.88949004,41.95811915
-87.88732925,41.99765599
-87.88633325,41.95840752
-87.88633325,41.95840752
-87.88633325,41.95840752
-87.88633325,41.95840752
-87.88633325,41.95840752
-87.88633325,41.95840752
-87.88633325,41.95840752
-87.88475392,41.99425895
-87.88468948,41.99507703
-87.88468948,41.99507703
-87.88468948,41.99507703
-87.88461289,41.99502233
-87.88439525,41.99508124
-87.88300136,41.99511076
-87.88270766,41.99479339
-87.88270766,41.99479339
-87.88270766,41.99479339
-87.88270766,41.99479339
-87.88270766,41.99479339
-87.88250784,41.99511132
-87.88250784,41.99511132
-87.88074256,41.96260106
-87.87926906,41.97966859
-87.87926906,41.97966859
-87.879199,41.98750326
-87.87891191,41.98102104
-87.87864262,41.98085593
-87.87864262,41.98085593
-87.87864262,41.98085593
-87.87864262,41.98085593
-87.8783833,41.9761845
-87.87654357,41.97506671
-87.87599083,41.97506756
-87.87599083,41.97506756
-87.86302998,41.97340096
